title,prog_code,genre,air_date,air_time,Duration
Consuelo Mack WealthTrack,EP007530520547,Bus./financial,20151121,93000,30.0
Financial Issues with Dan Celia,SH012391640000,Variety,20151230,190000,120.0
Oklahoma State Cowboys Football Preview,SH021533140000,"Special,Sports non-event,Football",20150815,223000,30.0
Cycles of Life: Exploring Biology,EP001923090013,"Documentary,Science",20151029,10000,30.0
Best Recipes Ever,EP012155570172,Cooking,20151125,170000,30.0
Bowling Green All Access,SH020370720000,Sports non-event,20151126,103000,30.0
Outside Source,SH018713640000,News,20151015,170000,30.0
Night Gallery,EP000031350062,"Anthology,Science fiction",20150328,63000,30.0
Awesome Adventures,EP002800460267,"Travel,Adventure,Educational",20150808,170000,30.0
Fantasy Slant,SH021743500000,"Sports non-event,Sports talk",20150808,180000,60.0
Abracadabra,EP018681550007,"Children,Educational,Health,Science",20150905,123000,30.0
Mega estelares,SH022175240000,Musical,20150905,210000,60.0
Secrets of World War II,EP002344410024,"Documentary,History,War",20151126,120000,60.0
En Reversa,EP018074620004,Crime,20151126,80000,30.0
"Open Phones With Keith Huxen, Part 1",SH023012850000,"Special,Talk",20151126,212900,30.0
Consuelo Mack WealthTrack,EP007530520518,Bus./financial,20150502,120000,30.0
Awesome Adventures,EP002800460260,"Travel,Adventure,Educational",20150531,173000,30.0
Consuelo Mack WealthTrack,EP007530520522,Bus./financial,20150531,133000,30.0
The Jim Bakker Show,SH005823380000,Religious,20151027,130000,60.0
Major League Fishing,SH015487300000,"Sports non-event,Fishing",20150920,170000,60.0
The Looney Tunes Show,EP014122490053,"Children,Comedy,Animated",20151008,93000,30.0
NBC 10 News Today at 6:00a,SH003952080000,News,20151009,100000,60.0
Chocco Fantasy,EP015531880033,"Reality,Cooking",20150404,190000,60.0
Sixteen Candles,MV000061550000,Comedy,20150405,130000,120.0
Consuelo Mack WealthTrack,EP007530520542,Bus./financial,20151019,0,30.0
Eric Clapton: Slowhand at 70 -Live,MV007973810000,Documentary,20151019,70000,90.0
Good Morning Arkansas,SH003547300000,Newsmagazine,20151019,140000,60.0
Night Gallery,EP000031350058,"Anthology,Science fiction",20150523,93000,30.0
Awesome Adventures,EP002800460263,"Travel,Adventure,Educational",20150523,160000,30.0
The Jim Bakker Show,SH005823380000,Religious,20150531,100000,60.0
Wai Lana Yoga,EP002111100096,"How-to,Exercise",20151005,100000,30.0
Outside Source,SH018713640000,News,20151005,203000,30.0
Awesome Adventures,EP002800460277,"Travel,Adventure,Educational",20151010,140000,30.0
The Jim Bakker Show,SH005823380000,Religious,20150831,200000,60.0
Best Recipes Ever,EP012155570079,Cooking,20150730,180000,30.0
Ciclismo XXI,SH016543490000,"Bicycle racing,Sports non-event",20150730,133000,30.0
Night Gallery,EP000031350091,"Anthology,Science fiction",20151001,63000,30.0
Financial Issues with Dan Celia,SH012391640000,Variety,20151001,180000,120.0
Local 10 News at 5,SH013226540000,News,20151001,210000,60.0
Awesome Adventures,EP002800460277,"Travel,Adventure,Educational",20151014,130000,30.0
Matu TV,SH016940150000,Musical,20151015,30000,60.0
Wai Lana Yoga,EP002111100071,"How-to,Exercise",20151013,120000,30.0
Informe Especial,SH002515960000,"Interview,Public affairs,News",20150903,213000,30.0
Crime Doctor's Warning,MV000162820000,Mystery,20150727,151500,105.0
Good Morning Arkansas,SH003547300000,Newsmagazine,20150727,140000,60.0
Shepard Smith Reporting,SH018038400000,"News,Public affairs",20150727,190000,60.0
FBN AM,SH021899230000,"News,Bus./financial",20150728,90000,60.0
Lucky Them,MV005109120000,Comedy-drama,20150817,31500,105.0
Best Recipes Ever,EP012155570111,Cooking,20150907,180000,30.0
NewsChannel 10 Early Show,SH003273100000,News,20150730,110000,60.0
Major League Fishing,EP015487300058,"Sports non-event,Fishing",20150611,140000,120.0
Zach Fredman,EP019796180001,null,20150611,234000,20.0
Food Expedition Okawari Nippon,SH019149560000,null,20150611,200000,30.0
The Jim Bakker Show,SH002315940000,Religious,20150406,100000,60.0
NewsChannel 10 Early Show,SH003273100000,News,20150804,110000,60.0
Sing For Joy,SH017361750000,"Religious,Music",20150803,163000,30.0
Best Recipes Ever,EP012155570114,Cooking,20150910,200000,30.0
Consuelo Mack WealthTrack,EP007530520542,Bus./financial,20151021,133000,30.0
Eric Clapton: Slowhand at 70 -Live,MV007973810000,Documentary,20151020,90000,90.0
Shepard Smith Reporting,SH018038400000,"News,Public affairs",20151020,190000,60.0
Awesome Adventures,EP002800460266,"Travel,Adventure,Educational",20150820,113000,30.0
Superior Sunrise,SH022343190000,Auction,20150820,133000,30.0
9 On Your Side at 11pm,SH003601020000,News,20150720,30000,35.0
Best Recipes Ever,EP012155570403,Cooking,20150813,90000,30.0
The Jim Bakker Show,SH002315940000,Religious,20150814,100000,60.0
Outside Source,SH018713640000,News,20151012,203000,30.0
Best Recipes Ever,EP012155570059,Cooking,20150702,180000,30.0
Fire in the Sky,MV000365030000,Drama,20151006,150000,110.0
The Jim Bakker Show,SH002315940000,Religious,20151006,100000,60.0
Financial Issues with Dan Celia,SH012391640000,Variety,20151006,180000,120.0
Fly Nation,SH013480300000,"Outdoors,Fishing",20151007,123000,30.0
Major League Fishing,SH015487300000,"Sports non-event,Fishing",20151006,0,60.0
The Jim Bakker Show,SH008123870000,Religious,20150924,170000,60.0
The Jim Bakker Show,SH005823380000,Religious,20150804,40000,60.0
FBN AM,SH021899230000,"News,Bus./financial",20150805,90000,60.0
News Channel 12 Eastern Carolina,SH010373510000,News,20150615,20000,30.0
11 News at 6,SH015369190000,News,20150615,220000,30.0
Consuelo Mack WealthTrack,EP007530520521,Bus./financial,20150524,173000,30.0
Pootie Tang,MV001094620000,"Comedy,Musical,Adventure,Action",20151002,110000,85.0
Night Gallery,EP000031350034,"Anthology,Science fiction",20150806,93000,30.0
The Jim Bakker Show,SH008123870000,Religious,20150806,170000,60.0
Cycles of Life: Exploring Biology,EP001923090008,"Documentary,Science",20150827,223000,30.0
Rush Hour 3,MV001979180000,"Action,Comedy",20150827,90000,120.0
NewsChannel 10 Early Show,SH003273100000,News,20150827,103000,30.0
Wisdom Keys,SH006185310000,Religious,20150827,103000,30.0
Wai Lana Yoga,EP002111100084,"How-to,Exercise",20150713,130000,30.0
The Jim Bakker Show,SH002315940000,Religious,20150805,100000,60.0
News 8 at 4,SH018891470000,News,20150805,210000,60.0
Consuelo Mack WealthTrack,EP007530520511,Bus./financial,20150315,173000,30.0
Local 10 News at 5,SH013226540000,News,20150902,90000,60.0
Best Recipes Ever,EP012155570010,Cooking,20150427,200000,30.0
Best Recipes Ever,EP012155570136,Cooking,20151007,160000,30.0
The Jim Bakker Show,SH002315940000,Religious,20151007,100000,60.0
News Channel 12 Eastern Carolina,SH010373510000,News,20151008,20000,60.0
9 On Your Side at 11pm,SH003601020000,News,20150626,30000,35.0
The Jim Bakker Show,SH002315940000,Religious,20150908,170000,60.0
Good Morning Arkansas,SH003547300000,Newsmagazine,20150909,140000,60.0
NBC 10 News Today at 6:00a,SH003952080000,News,20150908,100000,60.0
Best Recipes Ever,EP012155570306,Cooking,20150810,120000,30.0
NBC 10 News Today at 6:00a,SH003952080000,News,20150810,100000,60.0
Major League Fishing,SH015487300000,"Sports non-event,Fishing",20150811,120000,60.0
Best Recipes Ever,EP012155570300,Cooking,20150716,200000,30.0
Recourse,EP020913860008,Auto,20150716,190000,30.0
Awesome Adventures,EP002800460258,"Travel,Adventure,Educational",20150629,110000,30.0
News Channel 12 Eastern Carolina,SH010373510000,News,20150630,20000,60.0
FBN AM,SH021899230000,"News,Bus./financial",20150915,90000,60.0
Consuelo Mack WealthTrack,EP007530520535,Bus./financial,20150902,73000,30.0
Best Recipes Ever,EP012155570402,Cooking,20150812,120000,30.0
The Locker Room,SH016667330000,Sports talk,20150825,110000,60.0
Secrets of World War II,EP002344410010,"Documentary,History,War",20150928,140000,60.0
Ciclismo XXI,SH016543490000,"Bicycle racing,Sports non-event",20150928,93000,30.0
The Jim Bakker Show,SH005823380000,Religious,20150430,200000,60.0
The Jim Bakker Show,SH008123870000,Religious,20150728,170000,60.0
Loft Corona,SH022237750000,null,20150721,213000,30.0
Secrets of World War II,EP002344410006,"Documentary,History,War",20150410,90000,60.0
NewsChannel 10 Early Show,SH003273100000,News,20150409,103000,30.0
Wai Lana Yoga,EP002111100101,"How-to,Exercise",20150911,140000,30.0
The Price Is Right,EP000043720807,Game show,20150930,170000,60.0
The American Dairy,EP013462450015,Agriculture,20150930,13000,30.0
Handy Manny,SH012105880000,"Children,Educational,Animated",20151220,190000,30.0
Pelicans Live,SH017959340000,"Sports non-event,Basketball",20151221,3000,30.0
Orchard Hill Church,SH017880850000,Religious,20151115,133000,30.0
Handy Manny,SH012105880000,"Children,Educational,Animated",20151212,160000,30.0
Made in Hollywood,EP007701430652,"Newsmagazine,Entertainment",20151114,203000,30.0
U.S. Farm Report,SH000046080000,"News,Agriculture",20151114,140000,60.0
Maz Jobrani: I Come in Peace,SH016660280000,"Special,Comedy,Standup",20151031,223000,90.0
Made in Hollywood,EP007701430653,"Newsmagazine,Entertainment",20151122,83000,30.0
Made in Hollywood,EP007701430653,"Newsmagazine,Entertainment",20151122,93000,30.0
Tim & Eric's Bedtime Stories,EP019881990004,"Anthology,Comedy",20151121,44500,15.0
Made in Hollywood,EP007701430655,"Newsmagazine,Entertainment",20151206,230000,30.0
Made in Hollywood,EP007701430034,"Newsmagazine,Entertainment",20151107,233000,30.0
Voices of Veterans,EP013570400093,Community,20151107,200000,65.0
U.S. Farm Report,SH000046080000,"News,Agriculture",20151025,120000,60.0
Made in Hollywood,EP007701430650,"Newsmagazine,Entertainment",20151101,103000,30.0
Made in Hollywood,EP007701430650,"Newsmagazine,Entertainment",20151101,230000,30.0
Pelicans Live,SH017959340000,"Sports non-event,Basketball",20151101,20000,30.0
KATU News at 11,SH011520130000,News,20151206,70000,35.0
Made in Hollywood,EP007701430654,"Newsmagazine,Entertainment",20151129,80500,30.0
U.S. Farm Report,SH000046080000,"News,Agriculture",20151128,130000,60.0
Forty Niner Way,SH019867120000,"Sports talk,Football",20151129,23000,30.0
Newswatch 16 This Morning,SH014230370000,News,20151119,100000,30.0
Skin Wars,EP019556820016,"Reality,Art",20150801,60000,60.0
Made in Hollywood,EP007701430648,"Newsmagazine,Entertainment",20151017,70700,30.0
Little House on the Prairie,EP000026330046,Drama,20151217,220000,60.0
The Roosevelts: An Intimate History,EP018706860006,"Documentary,History",20151218,0,120.0
The Nikki Fargas Radio Show,SH023110880000,"Sports non-event,Basketball",20151216,233000,60.0
Fútbol Uruguayo Primera División,EP012116360596,"Sports event,Soccer",20151017,233000,120.0
Little House on the Prairie,EP000026330062,Drama,20151112,220000,60.0
The Kitchen,EP018375220024,Cooking,20151112,220000,60.0
Skin Wars,EP019556820014,"Reality,Art",20150718,30000,60.0
U.S. Farm Report,SH000046080000,"News,Agriculture",20150719,83000,60.0
El chef del mar,SH022251190000,"Cooking,Fishing",20150718,220000,50.0
Handy Manny,EP008560260093,"Children,Educational,Animated",20150620,73000,30.0
Pastor Bobby Webb,SH001875420000,Religious,20151011,120000,30.0
Dateline on ID,EP010210860222,Documentary,20151011,70000,60.0
Handy Manny,EP008560260061,"Children,Educational,Animated",20150725,50000,30.0
The Kitchen,EP018375220075,Cooking,20150725,180000,60.0
U.S. Farm Report,SH000046080000,"News,Agriculture",20150726,90000,60.0
Life on the Reef,EP019223930001,Nature,20150727,90000,60.0
NEW P90 Body Makeover!,SH013133220000,Consumer,20150727,113000,30.0
"The Wild, Wild West",EP000047920045,"Drama,Western,Adventure",20151004,200000,60.0
Landscapes Through Time With David,EP010489340006,How-to,20151005,13000,30.0
Clio TV,SH013952910000,"History,Community,Documentary,Educational",20151004,170000,60.0
DW Noticias,SH021873360000,News,20150907,20000,30.0
Made in Hollywood,EP007701430632,"Newsmagazine,Entertainment",20150628,33000,30.0
Talk About It!,SH015888870000,Community,20150711,233000,30.0
Talk Books,EP015478120016,null,20151224,100000,30.0
The Kitchen,EP018375220009,Cooking,20151209,220000,60.0
Al Extremo en 30,SH022077320000,"News,Entertainment",20151210,110000,30.0
Ramdev Baba,SH011415490000,null,20151229,103000,30.0
WETM 18 News at 6pm,SH009249440000,News,20150829,220000,30.0
USF Football: A New on the Bay Speeds Up,SH021809320000,"Sports non-event,Football",20150629,20000,30.0
Newswatch 16 This Morning,SH014230370000,News,20151229,110000,30.0
Six Degrees of Everything,EP021874310002,"Comedy,Variety",20150822,93000,30.0
Talk About It!,SH015888870000,Community,20150822,143000,30.0
We Day,SH022335730000,"Special,Event,Music",20150822,160000,60.0
Dateline on ID,EP010210860192,Documentary,20151103,10000,60.0
Little House on the Prairie,EP000026330175,Drama,20151223,220000,60.0
Made in Hollywood,EP007701430641,"Newsmagazine,Entertainment",20150830,73000,30.0
Fútbol Uruguayo Primera División,EP012116360574,"Sports event,Soccer",20150830,180000,120.0
Clio TV,SH013952910000,"History,Community,Documentary,Educational",20150830,170000,60.0
U.S. Farm Report,SH000046080000,"News,Agriculture",20151003,110000,60.0
Adventures From the Book of Virtues,EP001884940009,"Children,Anthology,Animated",20151207,103000,30.0
Change TV,SH015924780000,Religious,20151207,63000,30.0
U.S. Farm Report,SH000046080000,"News,Agriculture",20150802,120000,60.0
Six Degrees of Everything,EP021874310004,"Comedy,Variety",20150919,213000,30.0
8 Mile,MV001189600000,Drama,20150920,0,150.0
Maz Jobrani: I Come in Peace,SH016660280000,"Special,Comedy,Standup",20151112,163000,90.0
Polyamory: Married & Dating,EP015732770009,"Reality,Romance",20151103,90000,30.0
CBS46 News at Noon,SH019624760000,News,20151103,170000,30.0
Badlands Pawn,SH022458090000,Public affairs,20151103,60000,30.0
Badlands Pawn,SH022458090000,Public affairs,20151203,60000,30.0
Shark Powered!,SH022629650000,Consumer,20151202,20000,30.0
Tales From the Hood,MV000424760000,Drama,20151222,54500,105.0
2111,SH014808100000,Documentary,20151124,180000,60.0
The Nikki Fargas Radio Show,SH023110880000,"Sports non-event,Basketball",20151125,30000,60.0
Made in Hollywood,EP007701430633,"Newsmagazine,Entertainment",20150705,80000,30.0
Mother Funders,EP021846740001,"Reality,Drama",20150705,100000,58.0
Viva la Tarde,SH019075820000,"Talk,Interview",20151104,190000,60.0
Dateline on ID,EP010210860238,Documentary,20150824,30000,60.0
Made in Hollywood,EP007701430638,"Newsmagazine,Entertainment",20150809,183000,30.0
Mother Funders,EP021846740007,"Reality,Drama",20150809,130000,60.0
Dangerous Minds,MV000431430000,Drama,20150419,113000,105.0
Herbie: Fully Loaded,MV001594350000,Comedy,20150419,185500,105.0
U.S. Farm Report,SH000046080000,"News,Agriculture",20150418,93000,60.0
Talk About It!,SH015888870000,Community,20150418,233000,30.0
Talk About It!,SH015888870000,Community,20150419,83000,30.0
The Dooley and Pals Show,SH003701840000,"Children,Adventure",20151022,113000,30.0
Fútbol Uruguayo Primera División,EP012116360613,"Sports event,Soccer",20151231,210000,120.0
WBOC News at 11,SH003307670000,News,20151231,40000,35.0
Made in Hollywood,EP007701430633,"Newsmagazine,Entertainment",20150704,73700,23.0
U.S. Farm Report,SH000046080000,"News,Agriculture",20150704,93000,60.0
U.S. Farm Report,SH000046080000,"News,Agriculture",20150816,120000,60.0
Talk About It!,SH015888870000,Community,20150816,33000,30.0
C-USA No-Huddle,EP014422800067,"Sports non-event,Football",20151026,200000,60.0
Journeys in Africa,EP017775300024,Travel,20151026,190000,30.0
Viva la Tarde,SH019075820000,"Talk,Interview",20151026,180000,60.0
Adventures From the Book of Virtues,EP001884940008,"Children,Anthology,Animated",20150510,93000,30.0
KATU News at 11,SH011520130000,News,20150510,60000,35.0
Made in Hollywood,EP007701430634,"Newsmagazine,Entertainment",20150712,73000,30.0
Mother Funders,EP021846740004,"Reality,Drama",20150713,63200,58.0
Made in Hollywood,EP007701430622,"Newsmagazine,Entertainment",20150412,53000,30.0
NEW P90 Body Makeover!,SH013133220000,Consumer,20150912,130000,30.0
Made in Hollywood,EP007701430624,"Newsmagazine,Entertainment",20150426,90000,30.0
Talk About It!,SH015888870000,Community,20150426,33000,30.0
Handy Manny,EP008560260009,"Children,Educational,Animated",20151118,153500,25.0
Ramdev Baba,SH011415490000,null,20151118,103000,30.0
Al Extremo en 30,SH022077320000,"News,Entertainment",20151119,20000,30.0
Little House on the Prairie,EP000026330042,Drama,20151031,10000,60.0
CNN World Rugby,EP022646510007,Rugby,20151031,73000,30.0
Adventures From the Book of Virtues,EP001884940064,"Children,Anthology,Animated",20150419,93000,30.0
The Making Of: Neighbors,SH018833310000,"Special,Documentary,Entertainment",20150420,4500,15.0
Made in Hollywood,EP007701430639,"Newsmagazine,Entertainment",20150815,230000,30.0
NEW P90 Body Makeover!,SH013133220000,Consumer,20150815,143000,30.0
Adventures of Rin Tin Tin,EP000268920139,"Drama,Animals",20150425,170000,30.0
Made in Hollywood,EP007701430624,"Newsmagazine,Entertainment",20150426,93000,30.0
Planet Ford,SH013963200000,Public affairs,20150425,140000,30.0
Talk About It!,SH015888870000,Community,20150426,163000,30.0
Mr. Foys Easel,SH019366390000,Educational,20150425,123000,15.0
Handy Manny,EP008560260175,"Children,Educational,Animated",20151028,143000,30.0
Newswatch 16 This Morning,SH014230370000,News,20151029,103000,30.0
DW Noticias,SH021873360000,News,20151028,20000,30.0
KATU News at 11,SH011520130000,News,20151015,60000,35.0
Becoming Redwood,MV004789880000,Drama,20150518,0,120.0
Sunday Today in New York,SH018689020000,News,20150517,100000,150.0
The Making Of: Neighbors,SH018833460000,"Special,Documentary,Entertainment",20150517,160000,15.0
NEW P90 Body Makeover!,SH013133220000,Consumer,20150809,103000,30.0
Made in Hollywood,EP007701430625,"Newsmagazine,Entertainment",20150502,153000,30.0
The Dooley and Pals Show,SH003701840000,"Children,Adventure",20150503,170000,30.0
Made in Hollywood,EP007701430645,"Newsmagazine,Entertainment",20150927,30000,30.0
U.S. Farm Report,SH000046080000,"News,Agriculture",20150926,100000,30.0
Newswatch 16 This Morning,SH014230370000,News,20151027,90000,30.0
Made in Hollywood,EP007701430644,"Newsmagazine,Entertainment",20150921,70500,25.0
Made in Hollywood,EP007701430644,"Newsmagazine,Entertainment",20150921,90000,30.0
Made in Hollywood,EP007701430625,"Newsmagazine,Entertainment",20150504,53000,30.0
Handy Manny,EP008560260173,"Children,Educational,Animated",20151009,50000,30.0
Talk About It!,SH015888870000,Community,20151009,10000,30.0
Maz Jobrani: I Come in Peace,SH016660280000,"Special,Comedy,Standup",20151008,153000,90.0
Shark Powered!,SH022629650000,Consumer,20151008,120000,30.0
U.S. Farm Report,SH000046080000,"News,Agriculture",20150405,103000,60.0
Pelicans Live,SH017959340000,"Sports non-event,Basketball",20150405,43000,30.0
Little House on the Prairie,EP000026330029,Drama,20151127,220000,60.0
Viva la Tarde,SH019075820000,"Talk,Interview",20151127,190000,60.0
Dateline on ID,EP010210860215,Documentary,20151019,210000,60.0
Ramdev Baba,SH011415490000,null,20151019,100000,30.0
Made in Hollywood,EP007701430629,"Newsmagazine,Entertainment",20150531,63500,30.0
Girls Gone Wild: Party Olympics,SH022146630000,"Adults only,Special",20151023,60000,60.0
Made in Hollywood,EP007701430622,"Newsmagazine,Entertainment",20150412,90000,30.0
Little House on the Prairie,EP000026330102,Drama,20151005,180000,60.0
KATU News at 11,SH011520130000,News,20151005,60000,35.0
CNN World Rugby,EP022646510004,Rugby,20151010,73000,30.0
U.S. Farm Report,SH000046080000,"News,Agriculture",20150606,130000,60.0
Talk About It!,SH015888870000,Community,20150917,160000,30.0
Life on the Reef,EP019223930002,Nature,20150730,80000,60.0
Mother Funders,EP021846740006,"Reality,Drama",20150730,130000,60.0
Dangerous Minds,MV000431430000,Drama,20150731,103000,100.0
Sin Medias Tintas,SH013790150000,"Entertainment,News",20150608,73000,60.0
The Making Of: Neighbors,SH018833310000,"Special,Documentary,Entertainment",20150608,4500,15.0
Little House on the Prairie,EP000026330101,Drama,20151001,210000,60.0
Handy Manny,EP008560260096,"Children,Educational,Animated",20151002,50000,30.0
Talk About It!,SH015888870000,Community,20151001,163000,30.0
The Dooley and Pals Show,SH003701840000,"Children,Adventure",20151015,170000,30.0
Made in Hollywood,EP007701430620,"Newsmagazine,Entertainment",20150321,213000,30.0
Under the Tuscan Sun,MV001384710000,"Romance,Comedy-drama",20150322,60000,120.0
Baltic Amber,SH013015540000,"Special,Shopping",20150321,50000,60.0
Little House on the Prairie,EP000026330156,Drama,20150727,230000,60.0
Dateline on ID,EP010210860225,Documentary,20150727,90000,60.0
The Life and Mind of Mark DeFriest,MV006045390000,Documentary,20150727,101000,110.0
The Kitchen,EP018375220060,Cooking,20150329,200000,60.0
Handy Manny,EP008560260071,"Children,Educational,Animated",20150907,160000,60.0
Maz Jobrani: I Come in Peace,SH016660280000,"Special,Comedy,Standup",20150908,140000,90.0
Talk Books,EP017097070030,null,20150611,213000,30.0
Skin Wars,EP019556820009,"Reality,Art",20150611,40000,60.0
Una familia con suerte,SH013836230000,"Soap,Comedy-drama",20150611,190000,120.0
U.S. Farm Report,SH000046080000,"News,Agriculture",20150405,120000,60.0
Skin Wars,EP019556820015,"Reality,Art",20150723,40200,60.0
Handy Manny,EP008560260007,"Children,Educational,Animated",20150803,123000,30.0
Life on the Reef,EP019223930002,Nature,20150803,200000,60.0
NEW P90 Body Makeover!,SH013133220000,Consumer,20150803,100000,30.0
The Dooley and Pals Show,SH003701840000,"Children,Adventure",20150910,113000,30.0
Little House on the Prairie,EP000026330145,Drama,20150821,10000,60.0
Six Degrees of Everything,EP021874310002,"Comedy,Variety",20150821,63100,31.0
Talk About It!,SH015888870000,Community,20150821,140000,30.0
Viva la Tarde,SH019075820000,"Talk,Interview",20150820,180000,60.0
Figure It Out,SH015620880000,"Children,Game show",20150709,50000,30.0
Al Extremo en 30,SH022077320000,"News,Entertainment",20150709,10000,30.0
Talk About It!,SH015888870000,Community,20150720,43000,30.0
Under the Tuscan Sun,MV001384710000,"Romance,Comedy-drama",20150322,30000,120.0
NEW P90 Body Makeover!,SH013133220000,Consumer,20150813,93000,30.0
Mr. Foys Easel,SH019366390000,Educational,20150813,103000,15.0
Journeys in Africa,EP017775300010,Travel,20150702,170000,30.0
Busty Coeds 3,SH021698460000,"Adults only,Special",20150703,33000,60.0
Handy Manny,EP008560260184,"Children,Educational,Animated",20151007,73000,30.0
Handy Manny,EP008560260075,"Children,Educational,Animated",20150909,43000,30.0
The Dooley and Pals Show,SH003701840000,"Children,Adventure",20150924,113000,30.0
She Gets What She Wants,MV001537070000,Comedy,20150804,84500,90.0
The Sisterhood of the Traveling Pants,MV001552570000,Comedy-drama,20150615,23000,150.0
Newswatch 16 This Morning,SH014230370000,News,20150615,90000,30.0
Adventures From the Book of Virtues,EP001884940018,"Children,Anthology,Animated",20150524,90000,30.0
Made in Hollywood,EP007701430628,"Newsmagazine,Entertainment",20150524,83000,30.0
Becoming Redwood,MV004789880000,Drama,20150525,43000,120.0
Al Extremo en 30,SH022077320000,"News,Entertainment",20151002,10000,30.0
Handy Manny,EP008560260042,"Children,Educational,Animated",20150828,80000,30.0
Six Degrees of Everything,EP021874310003,"Comedy,Variety",20150828,103000,30.0
NEW P90 Body Makeover!,SH013133220000,Consumer,20150827,93000,30.0
Skin Wars,EP019556820016,"Reality,Art",20150806,30000,60.0
CNN World Rugby,EP022646510002,Rugby,20150918,223000,30.0
Banshee,EP015640990032,"Suspense,Drama",20150315,40000,60.0
Reto de Cenas,SH019439550000,Cooking,20150315,113000,60.0
Handy Manny,EP008560260070,"Children,Educational,Animated",20150903,50000,30.0
Handy Manny,EP008560260029,"Children,Educational,Animated",20150618,80000,30.0
Handy Manny,EP008560260166,"Children,Educational,Animated",20150427,130000,30.0
Una familia con suerte,SH013836230000,"Soap,Comedy-drama",20150427,170000,60.0
Handy Manny,EP008560260026,"Children,Educational,Animated",20151007,173000,30.0
Handy Manny,EP008560260165,"Children,Educational,Animated",20151007,80000,30.0
Fútbol Uruguayo Primera División,EP012116360592,"Sports event,Soccer",20151007,163000,120.0
Six Degrees of Everything,EP021874310001,"Comedy,Variety",20151007,60000,31.0
Tales From the Hood,MV000424760000,Drama,20151008,43000,105.0
Newswatch 16 This Morning,SH014230370000,News,20150626,93000,30.0
Made in Hollywood,EP007701430638,"Newsmagazine,Entertainment",20150810,33000,30.0
Mother Funders,EP021846740008,"Reality,Drama",20150810,83000,60.0
Hijos de la Libertad,EP022031260002,Historical drama,20150810,40000,120.0
NEW P90 Body Makeover!,SH013133220000,Consumer,20150902,120000,30.0
Mr. Foys Easel,SH019366390000,Educational,20150812,103000,15.0
NEW P90 Body Makeover!,SH013133220000,Consumer,20150812,130000,30.0
Newswatch 16 This Morning,SH014230370000,News,20150813,90000,30.0
Talk About It!,SH015888870000,Community,20150826,43000,30.0
Little House on the Prairie,EP000026330236,Drama,20150921,220000,60.0
Made in Hollywood,EP007701430644,"Newsmagazine,Entertainment",20150921,80000,30.0
Dateline on ID,EP010210860202,Documentary,20150922,0,60.0
Vídeo Show,SH001722830000,"Entertainment,Interview",20150921,170000,70.0
The Kitchen,EP018375220083,Cooking,20150928,180000,60.0
Handy Manny,EP008560260170,"Children,Educational,Animated",20150430,80000,30.0
Longhorn Weekly,SH012043460000,Sports talk,20150501,0,60.0
El Trinquetero,MV000242880000,"Spanish,Action,Comedy,Drama",20150423,10000,90.0
Newswatch 16 This Morning,SH014230370000,News,20150424,93000,30.0
Handy Manny,EP008560260073,"Children,Educational,Animated",20150728,50000,30.0
Newswatch 16 This Morning,SH014230370000,News,20150721,103000,30.0
Al Extremo en 30,SH022077320000,"News,Entertainment",20150912,70000,30.0
Handy Manny,EP008560260077,"Children,Educational,Animated",20151001,73000,30.0
Hot Yoga Teens,MV008099470000,Adults only,20151213,73000,90.0
Súper Libro,SH005839600000,"Children,Educational,Religious,Anime",20151213,123000,30.0
Éxitos,SH018181650000,Music,20151115,200000,60.0
Éxitos,SH018181650000,Music,20151116,90000,60.0
Smooth Jazz,SH012559390000,Music,20151212,150000,240.0
Smooth Jazz,SH006381140000,Music,20151108,130000,120.0
Smooth Jazz,SH012559390000,Music,20151122,230000,240.0
Éxitos,SH018181650000,Music,20151115,100000,60.0
Éxitos,SH018181650000,Music,20151024,70000,60.0
Smooth Jazz,SH012559390000,Music,20151101,20000,300.0
Smooth Jazz,SH012559390000,Music,20151207,110000,240.0
¡A Volar Joven!,MV000360560000,"Spanish,Comedy",20151107,95000,115.0
IGFA Angler's Digest,SH009355820000,"Sports non-event,Outdoors,Fishing",20151025,50000,30.0
Smooth Jazz,SH006381140000,Music,20151101,150000,120.0
En la Lucha,SH022164900000,Entertainment,20151101,210000,30.0
Patterson's Economy Cars,SH022438310000,"Consumer,Auto",20151101,130000,30.0
The Dailey & Vincent Show,EP022544370001,"Talk,Variety",20151206,23000,30.0
Gopher Football With Tracy Claeys,SH023068080000,"Sports non-event,Football",20151205,3000,30.0
Vision Ministries,SH004491480000,Religious,20151119,123000,30.0
Smooth Jazz,SH012559390000,Music,20151119,190000,240.0
Mouk,SH017133220000,"Children,Fantasy",20151120,154500,15.0
Smooth Jazz,SH006381140000,Music,20150801,0,120.0
Éxitos,SH018181650000,Music,20151018,130000,60.0
Éxitos,SH018181650000,Music,20151217,150000,60.0
HARDtalk,SH012592930000,"News,Interview",20151110,163000,30.0
Weather Center Live,SH006197570000,Weather,20151112,170000,180.0
Éxitos,SH018181650000,Music,20151112,110000,60.0
Talking Books at Hay Festival,EP019343230006,Entertainment,20150614,73000,30.0
Drinking Made Easy,EP013317940060,Reality,20151029,83000,30.0
Smooth Jazz,SH012559390000,Music,20151029,100000,240.0
HARDtalk,SH012592930000,"News,Interview",20151030,33000,30.0
Éxitos,SH018181650000,Music,20151029,180000,60.0
